group,author,book,chunk_id,word_count,n_words,n_sentences,yules_k,simpsons_d,ttr,mattr_100,mean_word_length,mean_sentence_length,std_sentence_length,function_word_ratio,stopword_ratio,mean_dependency_distance,mean_tree_depth,mean_branching_factor
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_000,1000,984,28,94.87160420384691,0.009496811651738084,0.4603658536585366,0.7167796610169492,5.04979674796748,35.142857142857146,30.92122974559052,0.5,0.5650406504065041,3.614420062695925,5.857142857142857,1.0660569105691058
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_001,1000,982,46,89.22312417818078,0.008931407537510044,0.4775967413441955,0.7336013590033975,4.893075356415479,21.347826086956523,15.447269902737347,0.48676171079429736,0.5692464358452138,2.8685897435897436,4.5,1.0743380855397149
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_002,1000,993,41,89.46817044589062,0.008955836013384011,0.4390735146022155,0.7147986577181208,5.0110775427995975,24.21951219512195,18.862160074839668,0.486404833836858,0.5770392749244713,2.880377754459601,5.073170731707317,1.0866062437059416
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_003,1000,995,29,92.60372212822908,0.009269688482654722,0.44120603015075377,0.7016517857142858,5.016080402010051,34.310344827586206,29.398690386355955,0.5125628140703518,0.5738693467336683,3.269151138716356,6.068965517241379,1.0693467336683418
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_004,1000,994,40,95.78598350667384,0.009588244471866446,0.4305835010060362,0.7087039106145251,4.569416498993964,24.85,24.39625995926425,0.5050301810865191,0.5895372233400402,2.851153039832285,5.0,1.067404426559356
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_005,1000,1000,41,81.12,0.00812012012012012,0.427,0.720377358490566,5.115,24.390243902439025,18.09443796602606,0.494,0.57,2.9770594369134513,4.682926829268292,1.079
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_006,1000,986,42,78.87298445992371,0.007895305855582211,0.4918864097363083,0.7500676437429539,5.0628803245436105,23.476190476190474,27.32628082236524,0.4726166328600406,0.5557809330628803,3.3582718651211803,4.5476190476190474,1.0588235294117647
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_007,1000,992,32,88.89665712799167,0.008898636112105725,0.45463709677419356,0.7434154535274355,5.168346774193548,31.0,28.126944377233727,0.4889112903225806,0.5473790322580645,3.30625,5.4375,1.0383064516129032
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_008,1000,996,43,89.8977435847809,0.008998809307582087,0.46987951807228917,0.7095763656633222,5.097389558232932,23.162790697674417,17.098796683566942,0.48694779116465864,0.5461847389558233,3.1836306400839454,4.837209302325581,1.0632530120481927
baseline,chico_xavier,pinga_fogo_tv_tupi_1971,baseline_chico_xavier_pinga_fogo_009,1000,989,33,89.35499800126978,0.008944543828264758,0.4236602628918099,0.7018089887640448,5.1850353892821035,29.96969696969697,20.675684516146084,0.5015166835187057,0.5480283114256825,3.1799163179916317,5.424242424242424,1.0677451971688574
