chunk_id,de,a,e,o,que,do,da,em,os,se,as,com,para,no,na,um,ao,dos,por,nos,uma,é,das,à,mas,como,sua,me,seu,sem,eu,meu,aos,ou,era,todos,nas,pela,minha,lhe,nosso,nossa,pelo,seus,foi,ele,suas,entre,porque,onde,quem,ser,te,sobre,nossos,isso,tudo,todas,porém,outros
baseline_chico_xavier_pinga_fogo_000,0.11382113821138211,0.05894308943089431,0.046747967479674794,0.04065040650406504,0.08739837398373984,0.03048780487804878,0.012195121951219513,0.022357723577235773,0.014227642276422764,0.008130081300813009,0.018292682926829267,0.028455284552845527,0.032520325203252036,0.016260162601626018,0.018292682926829267,0.012195121951219513,0.006097560975609756,0.012195121951219513,0.02032520325203252,0.012195121951219513,0.0040650406504065045,0.0040650406504065045,0.0040650406504065045,0.008130081300813009,0.012195121951219513,0.006097560975609756,0.0,0.018292682926829267,0.0,0.0020325203252032522,0.022357723577235773,0.0020325203252032522,0.0020325203252032522,0.008130081300813009,0.0,0.02032520325203252,0.0,0.0,0.0020325203252032522,0.0,0.012195121951219513,0.012195121951219513,0.0,0.0040650406504065045,0.008130081300813009,0.0040650406504065045,0.0020325203252032522,0.0,0.0040650406504065045,0.0,0.0020325203252032522,0.0040650406504065045,0.0,0.0,0.014227642276422764,0.0040650406504065045,0.0,0.0,0.0,0.0040650406504065045
baseline_chico_xavier_pinga_fogo_001,0.11297071129707113,0.056485355648535567,0.05439330543933055,0.05439330543933055,0.06903765690376569,0.02510460251046025,0.027196652719665274,0.02301255230125523,0.010460251046025104,0.016736401673640166,0.014644351464435146,0.027196652719665274,0.02301255230125523,0.01882845188284519,0.014644351464435146,0.02510460251046025,0.0041841004184100415,0.012552301255230125,0.02301255230125523,0.008368200836820083,0.010460251046025104,0.0020920502092050207,0.0041841004184100415,0.0041841004184100415,0.014644351464435146,0.008368200836820083,0.0020920502092050207,0.02092050209205021,0.0,0.0,0.04811715481171548,0.0020920502092050207,0.006276150627615063,0.008368200836820083,0.0020920502092050207,0.006276150627615063,0.0,0.008368200836820083,0.0020920502092050207,0.0020920502092050207,0.010460251046025104,0.008368200836820083,0.0041841004184100415,0.0,0.0,0.012552301255230125,0.0020920502092050207,0.0,0.006276150627615063,0.0,0.0,0.0020920502092050207,0.0,0.0,0.0020920502092050207,0.0041841004184100415,0.0,0.0,0.0,0.0
baseline_chico_xavier_pinga_fogo_002,0.08902691511387163,0.06832298136645963,0.043478260869565216,0.039337474120082816,0.10351966873706005,0.020703933747412008,0.020703933747412008,0.024844720496894408,0.018633540372670808,0.018633540372670808,0.008281573498964804,0.035196687370600416,0.022774327122153208,0.002070393374741201,0.010351966873706004,0.024844720496894408,0.016563146997929608,0.010351966873706004,0.022774327122153208,0.008281573498964804,0.010351966873706004,0.022774327122153208,0.002070393374741201,0.014492753623188406,0.010351966873706004,0.004140786749482402,0.0,0.008281573498964804,0.002070393374741201,0.002070393374741201,0.031055900621118012,0.004140786749482402,0.002070393374741201,0.008281573498964804,0.0,0.002070393374741201,0.002070393374741201,0.002070393374741201,0.004140786749482402,0.0,0.012422360248447204,0.004140786749482402,0.006211180124223602,0.0,0.006211180124223602,0.014492753623188406,0.0,0.002070393374741201,0.012422360248447204,0.0,0.002070393374741201,0.006211180124223602,0.0,0.002070393374741201,0.004140786749482402,0.004140786749482402,0.0,0.0,0.0,0.0
baseline_chico_xavier_pinga_fogo_003,0.06862745098039216,0.054901960784313725,0.03725490196078431,0.0803921568627451,0.09019607843137255,0.023529411764705882,0.027450980392156862,0.03137254901960784,0.01764705882352941,0.029411764705882353,0.01764705882352941,0.0196078431372549,0.029411764705882353,0.025490196078431372,0.00392156862745098,0.0196078431372549,0.0058823529411764705,0.00196078431372549,0.00784313725490196,0.025490196078431372,0.0058823529411764705,0.025490196078431372,0.0058823529411764705,0.0058823529411764705,0.01568627450980392,0.00392156862745098,0.00196078431372549,0.00196078431372549,0.00392156862745098,0.0058823529411764705,0.0196078431372549,0.0,0.00980392156862745,0.00784313725490196,0.00392156862745098,0.01764705882352941,0.00196078431372549,0.0,0.00196078431372549,0.0,0.00784313725490196,0.00980392156862745,0.00196078431372549,0.00196078431372549,0.00392156862745098,0.01764705882352941,0.0,0.0,0.013725490196078431,0.00196078431372549,0.0,0.00392156862745098,0.0,0.00196078431372549,0.00392156862745098,0.00392156862745098,0.0,0.0,0.0,0.00392156862745098
baseline_chico_xavier_pinga_fogo_004,0.08764940239043825,0.07171314741035857,0.05776892430278884,0.06374501992031872,0.061752988047808766,0.0099601593625498,0.021912350597609563,0.017928286852589643,0.0099601593625498,0.01195219123505976,0.00597609561752988,0.03187250996015936,0.03386454183266932,0.01593625498007968,0.017928286852589643,0.017928286852589643,0.0,0.0099601593625498,0.00796812749003984,0.00199203187250996,0.03187250996015936,0.0199203187250996,0.00199203187250996,0.00398406374501992,0.025896414342629483,0.00398406374501992,0.00199203187250996,0.013944223107569721,0.0,0.0,0.05776892430278884,0.00597609561752988,0.0,0.00199203187250996,0.013944223107569721,0.00398406374501992,0.0,0.00199203187250996,0.0,0.0,0.00398406374501992,0.00597609561752988,0.00199203187250996,0.0,0.0,0.02390438247011952,0.0,0.0,0.013944223107569721,0.00597609561752988,0.00796812749003984,0.00398406374501992,0.0,0.0,0.00199203187250996,0.00597609561752988,0.0,0.0,0.0,0.0
baseline_chico_xavier_pinga_fogo_005,0.09109311740890688,0.06680161943319839,0.048582995951417005,0.03441295546558704,0.07489878542510121,0.032388663967611336,0.030364372469635626,0.024291497975708502,0.012145748987854251,0.012145748987854251,0.020242914979757085,0.030364372469635626,0.020242914979757085,0.012145748987854251,0.024291497975708502,0.01417004048582996,0.008097165991902834,0.008097165991902834,0.008097165991902834,0.024291497975708502,0.01417004048582996,0.012145748987854251,0.004048582995951417,0.004048582995951417,0.012145748987854251,0.012145748987854251,0.004048582995951417,0.0020242914979757085,0.0,0.0,0.006072874493927126,0.0,0.012145748987854251,0.008097165991902834,0.0,0.008097165991902834,0.008097165991902834,0.0020242914979757085,0.0020242914979757085,0.0,0.006072874493927126,0.008097165991902834,0.0020242914979757085,0.0,0.0,0.004048582995951417,0.0020242914979757085,0.0,0.01417004048582996,0.0020242914979757085,0.0,0.004048582995951417,0.0,0.0020242914979757085,0.012145748987854251,0.0,0.0,0.004048582995951417,0.0,0.006072874493927126
baseline_chico_xavier_pinga_fogo_006,0.07939914163090128,0.09012875536480687,0.034334763948497854,0.034334763948497854,0.08369098712446352,0.027896995708154508,0.019313304721030045,0.030042918454935622,0.015021459227467811,0.02575107296137339,0.017167381974248927,0.02575107296137339,0.03862660944206009,0.019313304721030045,0.015021459227467811,0.01072961373390558,0.01072961373390558,0.002145922746781116,0.008583690987124463,0.017167381974248927,0.012875536480686695,0.012875536480686695,0.004291845493562232,0.002145922746781116,0.017167381974248927,0.0,0.002145922746781116,0.006437768240343348,0.0,0.002145922746781116,0.02575107296137339,0.002145922746781116,0.012875536480686695,0.015021459227467811,0.004291845493562232,0.015021459227467811,0.0,0.0,0.002145922746781116,0.0,0.019313304721030045,0.017167381974248927,0.0,0.004291845493562232,0.0,0.006437768240343348,0.0,0.0,0.012875536480686695,0.002145922746781116,0.0,0.002145922746781116,0.0,0.0,0.015021459227467811,0.002145922746781116,0.0,0.0,0.0,0.0
baseline_chico_xavier_pinga_fogo_007,0.088659793814433,0.07422680412371134,0.041237113402061855,0.04329896907216495,0.07216494845360824,0.026804123711340205,0.04742268041237113,0.03505154639175258,0.04329896907216495,0.008247422680412371,0.012371134020618556,0.016494845360824743,0.04742268041237113,0.012371134020618556,0.010309278350515464,0.002061855670103093,0.006185567010309278,0.002061855670103093,0.018556701030927835,0.026804123711340205,0.012371134020618556,0.02268041237113402,0.012371134020618556,0.008247422680412371,0.004123711340206186,0.008247422680412371,0.002061855670103093,0.0,0.002061855670103093,0.006185567010309278,0.0,0.0,0.004123711340206186,0.008247422680412371,0.002061855670103093,0.008247422680412371,0.0,0.0,0.0,0.0,0.026804123711340205,0.020618556701030927,0.0,0.008247422680412371,0.0,0.002061855670103093,0.004123711340206186,0.0,0.006185567010309278,0.0,0.002061855670103093,0.004123711340206186,0.0,0.002061855670103093,0.0288659793814433,0.004123711340206186,0.0,0.0,0.0,0.006185567010309278
baseline_chico_xavier_pinga_fogo_008,0.09072164948453608,0.0865979381443299,0.0288659793814433,0.04536082474226804,0.08041237113402062,0.024742268041237112,0.026804123711340205,0.04742268041237113,0.020618556701030927,0.01443298969072165,0.010309278350515464,0.018556701030927835,0.0288659793814433,0.008247422680412371,0.008247422680412371,0.016494845360824743,0.016494845360824743,0.010309278350515464,0.01443298969072165,0.024742268041237112,0.012371134020618556,0.016494845360824743,0.004123711340206186,0.0,0.006185567010309278,0.008247422680412371,0.004123711340206186,0.0,0.0,0.002061855670103093,0.002061855670103093,0.0,0.006185567010309278,0.010309278350515464,0.002061855670103093,0.0,0.006185567010309278,0.0,0.004123711340206186,0.0,0.041237113402061855,0.018556701030927835,0.002061855670103093,0.0,0.002061855670103093,0.006185567010309278,0.0,0.002061855670103093,0.01443298969072165,0.0,0.0,0.006185567010309278,0.0,0.002061855670103093,0.008247422680412371,0.0,0.0,0.0,0.0,0.008247422680412371
baseline_chico_xavier_pinga_fogo_009,0.0625,0.04838709677419355,0.04838709677419355,0.034274193548387094,0.1028225806451613,0.03225806451612903,0.056451612903225805,0.03024193548387097,0.02217741935483871,0.024193548387096774,0.008064516129032258,0.016129032258064516,0.028225806451612902,0.014112903225806451,0.020161290322580645,0.008064516129032258,0.008064516129032258,0.014112903225806451,0.016129032258064516,0.014112903225806451,0.014112903225806451,0.018145161290322582,0.006048387096774193,0.004032258064516129,0.006048387096774193,0.018145161290322582,0.006048387096774193,0.0,0.0020161290322580645,0.006048387096774193,0.0020161290322580645,0.0,0.006048387096774193,0.006048387096774193,0.0,0.0020161290322580645,0.0,0.006048387096774193,0.0,0.0,0.018145161290322582,0.02217741935483871,0.004032258064516129,0.0020161290322580645,0.006048387096774193,0.0,0.0020161290322580645,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0020161290322580645,0.028225806451612902,0.004032258064516129,0.0,0.0,0.0,0.010080645161290322
